Monte Carlo integration (unit circle area)
Exact value = 3.14159

 N        result        est_error     actual_error
1000  3.164  0.0514306  0.0224073
2000  3.186  0.0360097  0.0444073
4000  3.161  0.0257492  0.0194073
8000  3.1615  0.0182034  0.0199073
16000  3.13825  0.0130009  0.00334265
32000  3.14337  0.00917315  0.00178235
64000  3.14531  0.00648105  0.00371985
128000  3.15272  0.00456827  0.0111261
256000  3.14202  0.00324507  0.000422971
512000  3.14114  0.00229546  0.000452029

Data written to data.txt
Plot will be generated as error.svg
